id;about;length;visit;season;day;month;year;session;part;date;subject;groups;format;title;speaker
differentiable_manifolds(session-13)-course-sharif-shahshahani-spring-1391;;;;;;;;13;-;;;differentiable_manifolds-spring91;avi;;
differentiable_manifolds(session-14)-course-sharif-shahshahani-spring-1391;;;;;;;;14;-;;;differentiable_manifolds-spring91;avi;;
financial_mathematics(session-10)-course-sharif-alishahi-spring-1388;;;;;;;;10;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-11)-course-sharif-alishahi-spring-1388;;;;;;;;11;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-12)-course-sharif-alishahi-spring-1388;;;;;;;;12;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-4)-course-sharif-alishahi-spring-1388;;;;;;;;4;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-5)-course-sharif-alishahi-spring-1388;;;;;;;;5;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-6)-course-sharif-alishahi-spring-1388;;;;;;;;6;-;;root;financial_mathematics-spring88;avi;;
financial_mathematics(session-7)-course-sharif-alishahi-spring-1388;;;;;;;;7;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-8)-course-sharif-alishahi-spring-1388;;;;;;;;8;-;;;financial_mathematics-spring88;avi;;
financial_mathematics(session-9)-course-sharif-alishahi-spring-1388;;;;;;;;9;-;;;financial_mathematics-spring88;avi;;
topology_from_differentiable_viewpoint(session-1-2)-course-sharif-jafari-spring-1391;;;;;;;;1;2;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-10-1)-course-sharif-jafari-spring-1391;;;;;;;;10;1;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-10-2)-course-sharif-jafari-spring-1391;;;;;;;;10;2;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-10-3)-course-sharif-jafari-spring-1391;;;;;;;;10;3;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-11)-course-sharif-jafari-spring-1391;;;;;;;;11;-;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-12-1)-course-sharif-jafari-spring-1391;;;;;;;;12;1;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-12-2)-course-sharif-jafari-spring-1391;;;;;;;;12;2;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
calculus_2(session-14)-course-sharif-shahshahani-spring-1388;;;;;;;;14;-;;;calculus_2-spring88;avi;;
calculus_2(session-23)-course-sharif-shahshahani-spring-1388;;;;;;;;23;-;;;calculus_2-spring88;avi;;
calculus_2(session-33)-course-sharif-shahshahani-spring-1388;;;;;;;;33;-;;;calculus_2-spring88;avi;;
calculus_2(session-5)-course-sharif-moghaddasi-spring-1392;;;;;;;;5;-;;;calculus_2-spring92;avi;;
combinatorics(session-3)-course-sharif-mahmoodian-spring-1392;;;;;;;;3;-;;;combinatorics-course-sharif-mahmoodian-spring-1392;avi;;
combinatorics_and_applications(session-1-1)-course-sharif-jafari-fall-1391;;;;;;;;1;1;;;combinatorics_and_applications-fall91;avi;;
topology_from_differentiable_viewpoint(session-5-1)-course-sharif-jafari-spring-1391;;;;;;;;5;1;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-5-2)-course-sharif-jafari-spring-1391;;;;;;;;5;2;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-6-1)-course-sharif-jafari-spring-1391;;;;;;;;6;1;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-6-2)-course-sharif-jafari-spring-1391;;;;;;;;6;2;;root;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
topology_from_differentiable_viewpoint(session-7-1)-course-sharif-jafari-spring-1391;;;;;;;;7;1;;;topology_from_differentiable_topology_from_differentiable_viewpoint-spring91;avi;;
